11_52159  A08W  -21.4259  -176.2280  195.2080  0.365974  0.002989  0.024249  14.10
11_52163  B02  -19.4721  -174.4230  78.7959  0.179563  0.001927  0.020739  10.30
11_52163  C05W  -19.4721  -174.4230  78.7959  0.288818  0.002969  0.026677  9.84
11_52163  B01W  -19.4721  -174.4230  78.7959  0.032154  0.001941  0.020015  1.94
11_52163  A02W  -19.4721  -174.4230  78.7959  0.128223  0.001925  0.020867  3.42
11_52163  B07W  -19.4721  -174.4230  78.7959  0.247614  0.002261  0.022830  9.95
11_52163  A03  -19.4721  -174.4230  78.7959  0.127622  0.001926  0.020835  3.37
11_52163  PNGI  -19.4721  -174.4230  78.7959  0.044901  0.001942  0.019958  3.49
11_52163  B05W  -19.4721  -174.4230  78.7959  0.170614  0.001926  0.020803  7.74
11_52163  N01W  -19.4721  -174.4230  78.7959  0.174235  0.001923  0.020965  8.71
11_52167  B09W  -19.9568  -174.5700  76.7376  0.277149  0.002124  0.022927  10.59
11_52167  FONI  -19.9568  -174.5700  76.7376  0.054961  0.001871  0.020601  4.56
11_52167  C08W  -19.9568  -174.5700  76.7376  0.360535  0.002539  0.026214  14.62
11_52167  C01W  -19.9568  -174.5700  76.7376  0.092525  0.001868  0.020808  5.45
11_52167  C05W  -19.9568  -174.5700  76.7376  0.227741  0.001859  0.021437  9.37
11_52167  C07W  -19.9568  -174.5700  76.7376  0.289982  0.002146  0.023425  11.99
11_52167  A02W  -19.9568  -174.5700  76.7376  0.156818  0.001863  0.021178  5.15
11_52167  B07W  -19.9568  -174.5700  76.7376  0.275335  0.001864  0.021053  11.99
11_52167  A03  -19.9568  -174.5700  76.7376  0.190890  0.001859  0.021470  6.10
11_52167  C03W  -19.9568  -174.5700  76.7376  0.208814  0.001853  0.021912  8.62
11_52167  B10  -19.9568  -174.5700  76.7376  0.332429  0.002791  0.028227  11.68
11_52167  B12  -19.9568  -174.5700  76.7376  0.376503  0.004273  0.036088  11.27
11_52167  A01  -19.9568  -174.5700  76.7376  0.151368  0.002002  0.021371  4.96
11_52177  C11W  -21.8200  -175.5640  90.5907  0.259079  0.001999  0.026009  13.13
11_52177  S02W  -21.8200  -175.5640  90.5907  0.270905  0.004622  0.047897  12.11
11_52177  C08W  -21.8200  -175.5640  90.5907  0.397497  0.002431  0.028851  14.44
11_52177  A05  -21.8200  -175.5640  90.5907  0.309124  0.001999  0.026081  18.58
11_52177  S01W  -21.8200  -175.5640  90.5907  0.126476  0.001999  0.026117  8.73
11_52177  A07  -21.8200  -175.5640  90.5907  0.282615  0.002001  0.025387  14.98
11_52177  C07W  -21.8200  -175.5640  90.5907  0.444955  0.003041  0.032817  14.50
11_52177  C09W  -21.8200  -175.5640  90.5907  0.340842  0.002349  0.028190  14.13
11_52177  A02W  -21.8200  -175.5640  90.5907  0.105651  0.001999  0.026190  7.52
11_52177  B11W  -21.8200  -175.5640  90.5907  0.537501  0.004625  0.042644  14.23
11_52177  C10W  -21.8200  -175.5640  90.5907  0.316873  0.002222  0.026601  14.42
11_52177  A14W  -21.8200  -175.5640  90.5907  0.464058  0.002966  0.030213  10.98
11_52177  A12W  -21.8200  -175.5640  90.5907  0.242016  0.001998  0.026263  8.23
11_52177  B07W  -21.8200  -175.5640  90.5907  0.395680  0.002786  0.032053  11.86
11_52177  B03  -21.8200  -175.5640  90.5907  0.300431  0.001996  0.027615  9.85
11_52177  A03  -21.8200  -175.5640  90.5907  0.165232  0.001999  0.026153  11.33
11_52177  C06  -21.8200  -175.5640  90.5907  0.191243  0.001998  0.026337  9.86
11_52177  C03W  -21.8200  -175.5640  90.5907  0.184128  0.001998  0.026226  10.02
11_52177  A06W  -21.8200  -175.5640  90.5907  0.239512  0.001999  0.026045  13.24
11_52177  A08W  -21.8200  -175.5640  90.5907  0.244263  0.001998  0.026263  11.90
11_52177  B08  -21.8200  -175.5640  90.5907  0.433269  0.004322  0.040190  12.68
11_52177  B10  -21.8200  -175.5640  90.5907  0.573996  0.005740  0.044858  15.56
11_52177  A10W  -21.8200  -175.5640  90.5907  0.306202  0.002184  0.027361  12.75
11_52177  B06  -21.8200  -175.5640  90.5907  0.329830  0.002225  0.028099  10.25
11_52177  A11  -21.8200  -175.5640  90.5907  0.368579  0.002388  0.029301  13.86
11_52177  C16W  -21.8200  -175.5640  90.5907  0.303844  0.002049  0.025658  10.62
11_52177  A09  -21.8200  -175.5640  90.5907  0.310895  0.002041  0.026337  14.07
11_52177  C15  -21.8200  -175.5640  90.5907  0.507254  0.004354  0.038692  15.29
11_52177  C17W  -21.8200  -175.5640  90.5907  0.469063  0.002953  0.033035  12.89
11_52185  C08W  -19.5786  -177.3920  388.9730  0.650832  0.004504  0.029340  12.70
11_52185  C05W  -19.5786  -177.3920  388.9730  0.511727  0.005747  0.036809  9.61
11_52185  CICA  -19.5786  -177.3920  388.9730  0.666627  0.005029  0.032582  11.33
11_52185  C09W  -19.5786  -177.3920  388.9730  0.579599  0.004640  0.031066  11.12
11_52185  B01W  -19.5786  -177.3920  388.9730  0.347133  0.002984  0.023850  6.05
11_52185  B11W  -19.5786  -177.3920  388.9730  0.547651  0.004563  0.030494  11.06
11_52185  C10W  -19.5786  -177.3920  388.9730  0.631544  0.005494  0.035512  11.92
11_52185  A12W  -19.5786  -177.3920  388.9730  0.545554  0.005498  0.036424  10.64
11_52185  C15  -19.5786  -177.3920  388.9730  0.518314  0.004483  0.029047  10.56
11_52185  B03  -19.5786  -177.3920  388.9730  0.492387  0.006658  0.037618  9.01
11_52185  LBSA  -19.5786  -177.3920  388.9730  0.591710  0.007101  0.037828  7.86
11_52185  B05W  -19.5786  -177.3920  388.9730  0.503312  0.004390  0.028487  9.53
